"","queried_ursi","age","sex","firstSum","secondSum","allSum","past","positive","future","negative","friends","specific_vague","words","images","EHI","MeanFD"
"43",137679,22,"male",119,46,165,0.754056173714658,-1.67424717720986,-0.559066673362177,-0.314539876201975,-0.685902805375722,1.2221996523399,1.42367273136849,-0.709607942210902,45,0.1254
"44",139212,41,"female",91,20,111,0.0955645740694317,1.66648591929824,0.777636264967408,-0.172738925330689,0.0975308806176889,-0.870916443360412,-0.379342882271846,0.322345347685316,100,0.2108
"45",139300,21,"female",101,48,149,0.343776687723613,-1.18673222769491,-0.11621383809987,-0.307184218752732,-0.763366765973799,1.33442648918111,-0.872608177876452,1.67538345000973,75,0.1731
"46",139480,18,"male",100,40,140,0.405375238336548,-0.101117030137729,-0.0812522049168119,-1.06735107015636,-1.7533279131006,0.601596429265632,0.562490083565056,-1.09799273853892,90,0.1152
"47",141795,27,"female",106,23,129,0.692743487122273,-0.775155698879967,-0.02868111186674,0.0449340480404047,2.47584189192346,-0.741938210365518,0.104134759768826,0.798610023663076,60,0.1597
"48",142673,21,"male",88,42,130,-0.145762414262655,-0.301746349099516,0.27468332818541,-0.950523598139769,0.627798629020469,0.613979650022767,1.24753758700622,-0.225990252038863,85,0.2281
"49",144667,24,"male",107,42,149,0.557420014474879,0.114152978889264,-1.31431724586811,-0.0430068434206703,-1.36330947689961,0.944335709495206,-2.16510915140246,-1.38628907087555,30,0.0959
"50",144702,51,"male",86,22,108,0.256435315215149,3.02608695588925,-1.36912795747499,2.11225963102362,1.67780899063194,-0.431135021289432,0.215615812294346,-1.91536486991204,-20,0.1878
"51",146714,23,"male",121,40,161,1.02478178912662,1.22667976807688,0.0357970444931298,0.308557149310539,0.0432892637387188,0.674912298867716,-0.287925110557045,-0.469927939806533,55,0.1983
"52",146865,54,"female",24,16,40,-1.6302578361449,0.820363482575287,-0.190427015560581,0.0074197244822779,-0.725313939632486,-1.28760586250538,-1.66987454244735,0.488844621637342,80,0.1372
"53",147122,60,"female",26,30,56,-1.62592530893272,0.719493964030471,-0.151056390714842,0.0875728980373381,-0.481102929878474,-0.28650030874966,0.96420894211971,-0.336846373438836,100,0.2162
"54",150404,24,"female",100,16,116,0.332758520553874,-0.931438482478949,2.07904649090173,-0.864141161562693,-0.949666450221539,-1.27195632702189,0.440468333944972,0.360509340710252,70,0.245
"55",150525,27,"male",48,20,68,-0.934538419247342,0.847008507236316,0.675871516554333,-0.800040131034887,-1.04929528300498,-1.15530194344981,0.518066344092627,-0.182240191573396,60,0.3687
"56",150589,41,"female",166,44,210,1.8720772372878,-0.204477406185236,-1.45272692061446,-0.527846138291784,-0.326952646526328,0.508401247837613,1.90663449454748,1.12593949289858,30,0.1969
"57",152968,56,"female",54,35,89,-0.855730831853779,0.807063832715182,0.918375658986187,-0.216212568759574,-0.85690262610573,0.131569455217468,0.147337754238885,-0.672056117683245,65,0.4685
"58",153114,47,"female",62,44,106,-0.837643575103176,-1.10458426826208,0.222295272024169,1.24429145250238,-1.01926271388653,0.920284093057857,-0.13195999625542,0.307067237064207,100,0.2474
"59",154423,21,"female",52,15,67,-0.994099680490796,0.673614857636577,0.922506806125094,-0.0564873687457759,0.728031332363767,-1.18792667382044,-1.18107593269449,0.0588744766327751,80,0.2599
"60",155419,42,"male",81,22,103,-0.145214806007365,-0.934420583297808,-1.68180393759544,0.687427474808684,0.540231088805635,-0.760258194675873,0.682650362840412,-1.1288353732901,95,0.1489
"61",155458,41,"female",45,26,71,-1.21512442746118,-0.0389204603202246,-0.142480976200774,0.163054778090926,0.782525705187357,-0.36820075773798,0.108547645272128,-1.18387633802851,100,0.3892
"62",156263,47,"female",87,23,110,0.0462529548647466,-1.23138943121801,1.8738656496172,0.0602371410165461,0.239245161129233,-0.922346557567129,0.760888832703548,-0.375137597092908,55,0.3244
"63",156678,19,"male",117,37,154,0.653130559066656,-1.6362573017206,0.67401298475109,-0.578583352771045,0.276747826766826,0.377063190958406,-0.889905178786115,-1.174086234825,65,0.2325
"64",158411,20,"male",105,41,146,0.530210942584735,-0.418739337149415,0.00287020593840757,-0.0176567612300863,1.23901491863733,0.692773159186281,0.73531711730126,-0.407222138037808,95,0.1748
"65",158560,44,"female",60,20,80,-0.690744840456115,-0.0357421381047455,1.33945592790485,0.208332720374244,-0.601964003388112,-0.767649339988382,-1.24074755789202,0.862139168082544,100,0.2964
"66",158744,18,"male",127,48,175,1.10438751882948,-0.133207727549253,-1.16714162183426,-0.615790029350376,-0.593549229709677,1.40169994849702,-0.0818714359091829,-0.992072727413738,85,0.1628
"67",159429,22,"male",140,41,181,1.54543807246691,-0.072833641847727,0.159168057742003,-0.038674238193616,-2.1925829199632,0.443520489702109,1.00193702949127,0.109174295042987,90,0.1487
"68",161200,51,"female",94,24,118,0.0113458749522615,-0.582020622860951,0.179007381135427,-0.942699465104894,-0.896333893732243,-0.992969415119624,-0.417758472655451,-0.283391976156346,65,0.2015
